,drug_type,y,prediction
0,0,0,0
1,1,0,4
2,2,0,4
3,3,0,0
4,4,0,0
5,5,0,4
6,6,1,5
7,7,1,0
8,8,1,5
9,9,1,2
10,10,1,5
11,11,1,2
12,12,2,2
13,13,2,0
14,14,2,4
15,15,2,5
16,16,2,0
18,18,3,5
20,20,3,0
22,22,3,2
23,23,3,4
24,24,4,5
26,26,4,4
27,27,4,0
28,28,4,0
30,30,5,4
31,31,5,2
32,32,5,5
33,33,5,0
34,34,5,0
35,35,5,5
36,36,6,0
37,37,6,4
38,38,6,0
39,39,6,2
40,40,6,2
41,41,6,5
42,42,7,4
43,43,7,4
45,45,7,4
46,46,7,5
47,47,7,5
48,48,8,0
49,49,8,5
50,50,8,0
52,52,8,2
53,53,8,5
54,54,9,0
56,56,9,4
59,59,0,2
60,60,0,4
63,63,0,2
65,65,0,2
66,66,0,0
68,68,0,4
69,69,0,2
70,70,0,0
71,71,1,0
72,72,1,0
73,73,1,4
74,74,1,5
76,76,1,5
77,77,1,4
78,78,1,4
79,79,1,2
80,80,1,2
81,81,1,2
82,82,1,2
83,83,2,4
84,84,2,5
85,85,2,2
86,86,2,4
87,87,2,2
88,88,2,5
89,89,2,5
90,90,2,0
92,92,2,2
93,93,2,5
94,94,2,5
95,95,3,2
96,96,3,4
97,97,3,0
98,98,3,4
99,99,3,4
100,100,3,0
102,102,3,2
103,103,3,5
104,104,3,4
105,105,3,0
106,106,3,0
108,108,4,0
109,109,4,4
110,110,4,2
111,111,4,2
112,112,4,5
113,113,4,5
114,114,4,2
115,115,4,2
116,116,4,0
117,117,4,0
118,118,4,2
119,119,5,0
120,120,5,5
121,121,5,5
122,122,5,5
124,124,5,4
126,126,5,2
127,127,5,2
128,128,5,0
129,129,5,4
130,130,5,5
131,131,6,2
132,132,6,5
133,133,6,5
134,134,6,0
135,135,6,5
136,136,6,4
138,138,6,5
140,140,6,2
141,141,6,0
142,142,6,2
143,143,7,0
144,144,7,2
145,145,7,2
146,146,7,2
148,148,7,5
150,150,7,0
151,151,7,4
152,152,7,0
153,153,7,4
154,154,7,4
155,155,8,5
157,157,8,4
159,159,8,2
161,161,8,0
162,162,8,4
163,163,8,4
165,165,8,5
166,166,9,0
167,167,9,4
171,171,9,5
172,172,9,0
174,174,9,2
175,175,9,2
176,176,9,5
177,177,9,4
178,178,0,0
179,179,0,5
180,180,0,2
181,181,0,2
182,182,0,0
183,183,0,2
185,185,0,0
189,189,1,0
190,190,1,2
192,192,1,2
193,193,1,4
194,194,1,2
195,195,1,4
197,197,2,0
199,199,2,4
200,200,2,5
201,201,2,0
202,202,2,2
204,204,2,5
205,205,3,2
206,206,3,2
207,207,3,2
208,208,3,0
209,209,3,5
210,210,3,4
211,211,3,5
213,213,3,5
214,214,4,2
215,215,4,5
216,216,4,5
217,217,4,0
218,218,4,2
219,219,4,4
220,220,4,0
221,221,4,4
223,223,5,2
224,224,5,2
226,226,5,4
227,227,5,5
228,228,5,0
229,229,5,4
231,231,5,4
232,232,6,2
233,233,6,0
234,234,6,0
235,235,6,0
236,236,6,5
237,237,6,2
238,238,6,4
239,239,6,0
241,241,7,2
242,242,7,0
243,243,7,5
245,245,7,4
246,246,7,5
247,247,7,0
248,248,7,4
249,249,8,2
250,250,8,5
252,252,8,4
253,253,8,2
254,254,8,5
255,255,8,5
256,256,8,2
257,257,8,0
260,260,9,0
261,261,9,0
262,262,9,0
263,263,9,0
264,264,9,2
265,265,9,2
266,266,9,2
267,267,0,5
269,269,0,4
270,270,0,5
271,271,0,5
272,272,0,0
275,275,1,4
276,276,1,0
277,277,1,2
278,278,1,0
279,279,1,5
280,280,1,0
281,281,1,4
282,282,1,5
284,284,2,4
285,285,2,2
286,286,2,4
289,289,2,4
290,290,2,2
291,291,3,4
292,292,3,4
293,293,3,0
296,296,3,4
297,297,3,5
298,298,3,0
299,299,4,4
301,301,4,4
302,302,4,5
303,303,4,4
304,304,4,2
305,305,4,2
306,306,4,0
308,308,5,5
309,309,5,0
310,310,5,4
311,311,5,4
312,312,5,2
313,313,5,2
315,315,6,4
316,316,6,0
317,317,6,5
318,318,6,4
319,319,6,4
320,320,6,5
321,321,6,4
322,322,6,0
323,323,7,0
324,324,7,5
325,325,7,2
326,326,7,4
327,327,7,0
328,328,7,5
329,329,7,5
330,330,7,4
331,331,8,4
332,332,8,4
333,333,8,2
334,334,8,5
337,337,8,5
338,338,8,5
339,339,9,4
340,340,9,4
341,341,9,4
342,342,9,4
343,343,9,4
344,344,9,5
345,345,9,5
346,346,9,5
347,347,0,4
348,348,0,2
350,350,0,5
351,351,0,4
352,352,0,4
353,353,0,0
354,354,0,2
355,355,0,2
357,357,1,4
358,358,1,5
360,360,1,5
361,361,1,5
363,363,1,0
364,364,1,0
365,365,1,5
366,366,1,0
367,367,2,0
368,368,2,4
370,370,2,5
371,371,2,5
372,372,2,0
373,373,2,0
374,374,2,2
375,375,2,4
377,377,3,5
379,379,3,4
380,380,3,0
381,381,3,4
382,382,3,5
383,383,3,5
384,384,3,5
386,386,3,2
387,387,4,5
388,388,4,0
390,390,4,2
391,391,4,5
392,392,4,4
393,393,4,0
394,394,4,2
395,395,4,0
397,397,5,0
399,399,5,5
400,400,5,0
401,401,5,0
404,404,5,2
406,406,5,4
407,407,6,5
408,408,6,4
411,411,6,0
412,412,6,4
413,413,6,2
415,415,6,5
416,416,6,5
417,417,7,5
418,418,7,0
421,421,7,5
422,422,7,4
427,427,7,2
428,428,8,2
429,429,8,4
430,430,8,5
431,431,8,4
432,432,8,4
433,433,8,2
435,435,8,0
436,436,8,5
437,437,8,4
438,438,8,2
439,439,9,2
440,440,9,2
441,441,9,4
442,442,9,2
443,443,9,0
444,444,9,5
446,446,9,4
447,447,9,2
448,448,9,5
449,449,9,2
451,451,0,0
452,452,0,5
453,453,0,5
454,454,0,4
455,455,0,5
456,456,0,2
457,457,0,5
458,458,0,2
460,460,0,4
461,461,0,0
464,464,1,2
465,465,1,4
466,466,1,4
469,469,1,4
470,470,1,5
471,471,1,2
473,473,1,4
474,474,2,4
475,475,2,2
476,476,2,0
477,477,2,2
478,478,2,2
479,479,2,0
480,480,2,2
481,481,2,5
482,482,2,4
484,484,2,5
485,485,2,0
486,486,3,2
487,487,3,0
490,490,3,2
491,491,3,2
492,492,3,2
493,493,3,0
494,494,3,5
496,496,3,0
497,497,3,5
498,498,4,0
499,499,4,4
500,500,4,5
501,501,4,5
503,503,4,2
504,504,4,4
505,505,4,4
506,506,4,4
507,507,4,5
510,510,5,2
511,511,5,2
513,513,5,2
515,515,5,0
516,516,5,4
517,517,5,4
518,518,5,0
519,519,5,4
520,520,5,5
522,522,6,4
523,523,6,2
525,525,6,0
526,526,6,2
527,527,6,4
530,530,6,5
531,531,6,2
532,532,7,2
533,533,7,2
535,535,7,5
536,536,7,5
537,537,7,2
538,538,7,2
540,540,7,0
541,541,7,0
542,542,7,0
543,543,8,2
544,544,8,0
545,545,8,0
546,546,8,0
547,547,8,0
548,548,8,2
549,549,8,2
552,552,8,0
553,553,8,4
554,554,9,0
555,555,9,5
556,556,9,0
557,557,9,5
558,558,9,0
559,559,9,2
561,561,9,5
563,563,9,5
564,564,9,2
565,565,0,5
566,566,1,0
567,567,2,0
568,568,3,4
570,570,5,0
571,571,5,5
573,573,6,2
574,574,7,4
575,575,7,2
577,577,9,4
578,578,0,5
580,580,2,4
582,582,4,5
583,583,5,2
585,585,7,0
586,586,8,0
587,587,8,0
588,588,9,0
589,589,9,4
590,590,0,4
591,591,0,5
592,592,1,0
594,594,3,2
596,596,5,5
597,597,6,4
598,598,7,2
599,599,8,4
600,600,9,5
