,cv_score,sample_type,score,fold,key
0,0.1,standard,accuracy,0,8289
1,0.1,standard,accuracy,1,8289
2,0.1,standard,accuracy,2,8289
3,0.1,standard,accuracy,3,8289
0,0.01818181818181818,standard,f1,0,8289
1,0.01818181818181818,standard,f1,1,8289
2,0.01818181818181818,standard,f1,2,8289
3,0.01818181818181818,standard,f1,3,8289
0,0.5,standard,roc_auc,0,8289
1,0.5,standard,roc_auc,1,8289
2,0.5,standard,roc_auc,2,8289
3,0.5,standard,roc_auc,3,8289
0,0.0,standard,mcc,0,8289
1,0.0,standard,mcc,1,8289
2,0.0,standard,mcc,2,8289
3,0.0,standard,mcc,3,8289
0,0.1,majority,accuracy,0,8289
1,0.1,majority,accuracy,1,8289
2,0.1,majority,accuracy,2,8289
3,0.1,majority,accuracy,3,8289
0,0.01818181818181818,majority,f1,0,8289
1,0.01818181818181818,majority,f1,1,8289
2,0.01818181818181818,majority,f1,2,8289
3,0.01818181818181818,majority,f1,3,8289
0,0.5,majority,roc_auc,0,8289
1,0.5,majority,roc_auc,1,8289
2,0.5,majority,roc_auc,2,8289
3,0.5,majority,roc_auc,3,8289
0,0.0,majority,mcc,0,8289
1,0.0,majority,mcc,1,8289
2,0.0,majority,mcc,2,8289
3,0.0,majority,mcc,3,8289
0,0.1,standard,accuracy,0,1024
1,0.1,standard,accuracy,1,1024
2,0.1,standard,accuracy,2,1024
3,0.1,standard,accuracy,3,1024
0,0.01818181818181818,standard,f1,0,1024
1,0.01818181818181818,standard,f1,1,1024
2,0.01818181818181818,standard,f1,2,1024
3,0.01818181818181818,standard,f1,3,1024
0,0.5,standard,roc_auc,0,1024
1,0.5,standard,roc_auc,1,1024
2,0.5,standard,roc_auc,2,1024
3,0.5,standard,roc_auc,3,1024
0,0.0,standard,mcc,0,1024
1,0.0,standard,mcc,1,1024
2,0.0,standard,mcc,2,1024
3,0.0,standard,mcc,3,1024
0,0.1,majority,accuracy,0,1024
1,0.1,majority,accuracy,1,1024
2,0.1,majority,accuracy,2,1024
3,0.1,majority,accuracy,3,1024
0,0.01818181818181818,majority,f1,0,1024
1,0.01818181818181818,majority,f1,1,1024
2,0.01818181818181818,majority,f1,2,1024
3,0.01818181818181818,majority,f1,3,1024
0,0.5,majority,roc_auc,0,1024
1,0.5,majority,roc_auc,1,1024
2,0.5,majority,roc_auc,2,1024
3,0.5,majority,roc_auc,3,1024
0,0.0,majority,mcc,0,1024
1,0.0,majority,mcc,1,1024
2,0.0,majority,mcc,2,1024
3,0.0,majority,mcc,3,1024
0,0.1,standard,accuracy,0,512
1,0.1,standard,accuracy,1,512
2,0.1,standard,accuracy,2,512
3,0.1,standard,accuracy,3,512
0,0.01818181818181818,standard,f1,0,512
1,0.01818181818181818,standard,f1,1,512
2,0.01818181818181818,standard,f1,2,512
3,0.01818181818181818,standard,f1,3,512
0,0.5,standard,roc_auc,0,512
1,0.5,standard,roc_auc,1,512
2,0.5,standard,roc_auc,2,512
3,0.5,standard,roc_auc,3,512
0,0.0,standard,mcc,0,512
1,0.0,standard,mcc,1,512
2,0.0,standard,mcc,2,512
3,0.0,standard,mcc,3,512
0,0.1,majority,accuracy,0,512
1,0.1,majority,accuracy,1,512
2,0.1,majority,accuracy,2,512
3,0.1,majority,accuracy,3,512
0,0.01818181818181818,majority,f1,0,512
1,0.01818181818181818,majority,f1,1,512
2,0.01818181818181818,majority,f1,2,512
3,0.01818181818181818,majority,f1,3,512
0,0.5,majority,roc_auc,0,512
1,0.5,majority,roc_auc,1,512
2,0.5,majority,roc_auc,2,512
3,0.5,majority,roc_auc,3,512
0,0.0,majority,mcc,0,512
1,0.0,majority,mcc,1,512
2,0.0,majority,mcc,2,512
3,0.0,majority,mcc,3,512
0,0.1,standard,accuracy,0,256
1,0.1,standard,accuracy,1,256
2,0.1,standard,accuracy,2,256
3,0.1,standard,accuracy,3,256
0,0.01818181818181818,standard,f1,0,256
1,0.01818181818181818,standard,f1,1,256
2,0.01818181818181818,standard,f1,2,256
3,0.01818181818181818,standard,f1,3,256
0,0.5,standard,roc_auc,0,256
1,0.5,standard,roc_auc,1,256
2,0.5,standard,roc_auc,2,256
3,0.5,standard,roc_auc,3,256
0,0.0,standard,mcc,0,256
1,0.0,standard,mcc,1,256
2,0.0,standard,mcc,2,256
3,0.0,standard,mcc,3,256
0,0.1,majority,accuracy,0,256
1,0.1,majority,accuracy,1,256
2,0.1,majority,accuracy,2,256
3,0.1,majority,accuracy,3,256
0,0.01818181818181818,majority,f1,0,256
1,0.01818181818181818,majority,f1,1,256
2,0.01818181818181818,majority,f1,2,256
3,0.01818181818181818,majority,f1,3,256
0,0.5,majority,roc_auc,0,256
1,0.5,majority,roc_auc,1,256
2,0.5,majority,roc_auc,2,256
3,0.5,majority,roc_auc,3,256
0,0.0,majority,mcc,0,256
1,0.0,majority,mcc,1,256
2,0.0,majority,mcc,2,256
3,0.0,majority,mcc,3,256
0,0.1,standard,accuracy,0,128
1,0.1,standard,accuracy,1,128
2,0.1,standard,accuracy,2,128
3,0.1,standard,accuracy,3,128
0,0.01818181818181818,standard,f1,0,128
1,0.01818181818181818,standard,f1,1,128
2,0.01818181818181818,standard,f1,2,128
3,0.01818181818181818,standard,f1,3,128
0,0.5,standard,roc_auc,0,128
