,drug_type,y,prediction
0,0,0,8
1,1,0,6
2,2,0,1
3,3,0,6
4,4,0,4
5,5,0,4
6,6,1,9
7,7,1,5
8,8,1,4
9,9,1,0
10,10,1,0
11,11,1,4
12,12,2,0
13,13,2,3
14,14,2,2
15,15,2,0
16,16,2,1
18,18,3,4
20,20,3,0
22,22,3,9
23,23,3,1
24,24,4,7
26,26,4,1
27,27,4,8
28,28,4,9
30,30,5,5
31,31,5,1
32,32,5,3
33,33,5,5
34,34,5,0
35,35,5,6
36,36,6,3
37,37,6,5
38,38,6,2
39,39,6,4
40,40,6,1
41,41,6,5
42,42,7,7
43,43,7,5
45,45,7,7
46,46,7,7
47,47,7,4
48,48,8,3
49,49,8,8
50,50,8,0
52,52,8,8
53,53,8,3
54,54,9,3
56,56,9,4
59,59,0,2
60,60,0,5
63,63,0,3
65,65,0,3
66,66,0,7
68,68,0,5
69,69,0,3
70,70,0,2
71,71,1,1
72,72,1,1
73,73,1,1
74,74,1,0
76,76,1,0
77,77,1,6
78,78,1,3
79,79,1,1
80,80,1,5
81,81,1,5
82,82,1,8
83,83,2,5
84,84,2,3
85,85,2,2
86,86,2,2
87,87,2,2
88,88,2,1
89,89,2,0
90,90,2,3
92,92,2,2
93,93,2,2
94,94,2,2
95,95,3,9
96,96,3,4
97,97,3,5
98,98,3,2
99,99,3,2
100,100,3,8
102,102,3,1
103,103,3,9
104,104,3,2
105,105,3,2
106,106,3,5
108,108,4,3
109,109,4,3
110,110,4,4
111,111,4,1
112,112,4,3
113,113,4,0
114,114,4,4
115,115,4,6
116,116,4,8
117,117,4,0
118,118,4,1
119,119,5,8
120,120,5,6
121,121,5,3
122,122,5,5
124,124,5,1
126,126,5,1
127,127,5,2
128,128,5,4
129,129,5,3
130,130,5,5
131,131,6,7
132,132,6,4
133,133,6,6
134,134,6,1
135,135,6,9
136,136,6,5
138,138,6,7
140,140,6,8
141,141,6,6
142,142,6,1
143,143,7,9
144,144,7,2
145,145,7,1
146,146,7,1
148,148,7,6
150,150,7,5
151,151,7,6
152,152,7,9
153,153,7,3
154,154,7,3
155,155,8,2
157,157,8,4
159,159,8,5
161,161,8,3
162,162,8,5
163,163,8,4
165,165,8,8
166,166,9,7
167,167,9,1
171,171,9,7
172,172,9,0
174,174,9,1
175,175,9,4
176,176,9,7
177,177,9,1
178,178,0,9
179,179,0,9
180,180,0,2
181,181,0,5
182,182,0,5
183,183,0,7
185,185,0,5
189,189,1,5
190,190,1,9
192,192,1,3
193,193,1,7
194,194,1,1
195,195,1,2
197,197,2,7
