,cv_score,sample_type,score,fold
0,0.15833333333333333,standard,accuracy,0
1,0.25,standard,accuracy,1
2,0.225,standard,accuracy,2
3,0.20833333333333334,standard,accuracy,3
0,0.15171417898554332,standard,f1,0
1,0.2544567336792401,standard,f1,1
2,0.21515249476347872,standard,f1,2
3,0.20338237269129716,standard,f1,3
0,0.665354938271605,standard,roc_auc,0
1,0.6585648148148149,standard,roc_auc,1
2,0.6487654320987654,standard,roc_auc,2
3,0.6989197530864198,standard,roc_auc,3
0,0.06525434507693022,standard,mcc,0
1,0.1683508045328807,standard,mcc,1
2,0.1404029167267914,standard,mcc,2
3,0.12092212339613308,standard,mcc,3
0,0.15833333333333333,majority,accuracy,0
1,0.25,majority,accuracy,1
2,0.225,majority,accuracy,2
3,0.20833333333333334,majority,accuracy,3
0,0.15171417898554332,majority,f1,0
1,0.2544567336792401,majority,f1,1
2,0.21515249476347872,majority,f1,2
3,0.20338237269129716,majority,f1,3
0,0.665354938271605,majority,roc_auc,0
1,0.6585648148148149,majority,roc_auc,1
2,0.6487654320987654,majority,roc_auc,2
3,0.6989197530864198,majority,roc_auc,3
0,0.06525434507693022,majority,mcc,0
1,0.1683508045328807,majority,mcc,1
2,0.1404029167267914,majority,mcc,2
3,0.12092212339613308,majority,mcc,3
