,drug_type,y,prediction
SY0274,SY0274,2,17
SY0280,SY0280,10,17
SY0283,SY0283,15,17
SY0292,SY0292,17,17
SY0307,SY0307,13,11
SY0313,SY0313,2,13
SY0326,SY0326,3,2
SY0330,SY0330,11,3
SY0331,SY0331,13,2
SY0353,SY0353,11,3
SY0354,SY0354,11,2
SY0358,SY0358,7,11
SY0380,SY0380,15,2
SY0386,SY0386,6,3
SY0611,SY0611,13,11
SY0612,SY0612,10,3
SY0617,SY0617,9,11
SY0622,SY0622,13,6
SY0641,SY0641,3,6
SY0718,SY0718,11,13
SY0722,SY0722,7,13
SY0724,SY0724,13,3
SY0774,SY0774,13,13
SY0791,SY0791,3,13
SY0929,SY0929,7,2
SY0938,SY0938,9,11
SY0941,SY0941,2,3
SY0983,SY0983,7,11
SY0988,SY0988,6,3
SY1051,SY1051,6,11
SY1081,SY1081,17,6
SY1084,SY1084,6,11
SY1087,SY1087,3,11
SY1101,SY1101,11,3
SY1104,SY1104,10,11
SY1134,SY1134,17,3
SY1140,SY1140,3,11
SY1154,SY1154,10,17
SY1184,SY1184,17,11
SY1187,SY1187,11,11
SY1321,SY1321,9,11
SY1339,SY1339,17,11
SY1344,SY1344,10,17
SY1361,SY1361,3,17
SY1362,SY1362,3,17
SY1382,SY1382,17,17
SY1386,SY1386,17,3
SY1391,SY1391,3,3
SY1392,SY1392,3,17
SY1551,SY1551,6,3
SY1559,SY1559,15,11
SY1568,SY1568,11,3
SY1596,SY1596,9,3
SY1713,SY1713,2,17
SY1719,SY1719,15,13
SY1769,SY1769,13,17
SY1782,SY1782,9,17
SY1783,SY1783,17,13
SY1786,SY1786,11,13
SY1793,SY1793,13,17
