,cv_score,sample_type,score,fold,key
0,0.15491452991452992,standard,accuracy,0,8289
1,0.10400866738894908,standard,accuracy,1,8289
2,0.16983240223463686,standard,accuracy,2,8289
3,0.10964467005076142,standard,accuracy,3,8289
0,0.09622953572964923,standard,f1,0,8289
1,0.06505130310432232,standard,f1,1,8289
2,0.09832699985133408,standard,f1,2,8289
3,0.0614916921016365,standard,f1,3,8289
0,0.6025141506454036,standard,roc_auc,0,8289
1,0.517567661565103,standard,roc_auc,1,8289
2,0.5599489746720171,standard,roc_auc,2,8289
3,0.5049476684516858,standard,roc_auc,3,8289
0,0.047163126570508376,standard,mcc,0,8289
1,-0.03289038621457489,standard,mcc,1,8289
2,0.05128562070574451,standard,mcc,2,8289
3,-0.014746618088947028,standard,mcc,3,8289
0,0.21428571428571427,majority,accuracy,0,8289
1,0.0,majority,accuracy,1,8289
2,0.07142857142857142,majority,accuracy,2,8289
3,0.05555555555555555,majority,accuracy,3,8289
0,0.10555555555555556,majority,f1,0,8289
1,0.0,majority,f1,1,8289
2,0.04,majority,f1,2,8289
3,0.022222222222222223,majority,f1,3,8289
0,0.675,majority,roc_auc,0,8289
1,0.5333333333333333,majority,roc_auc,1,8289
2,0.5861111111111111,majority,roc_auc,2,8289
3,0.4935185185185186,majority,roc_auc,3,8289
0,0.10130511230913848,majority,mcc,0,8289
1,-0.16825124336743486,majority,mcc,1,8289
2,-0.0553408838936192,majority,mcc,2,8289
3,-0.05802979318032871,majority,mcc,3,8289
0,0.16025641025641027,standard,accuracy,0,1024
1,0.10184182015167931,standard,accuracy,1,1024
2,0.17541899441340783,standard,accuracy,2,1024
3,0.11472081218274112,standard,accuracy,3,1024
0,0.09823829911529613,standard,f1,0,1024
1,0.06207118942198424,standard,f1,1,1024
2,0.1009980252682662,standard,f1,2,1024
3,0.06377488993732294,standard,f1,3,1024
0,0.6044513624467636,standard,roc_auc,0,1024
1,0.5163991665184262,standard,roc_auc,1,1024
2,0.5595845914230416,standard,roc_auc,2,1024
3,0.5052832858121292,standard,roc_auc,3,1024
0,0.052639034531290686,standard,mcc,0,1024
1,-0.036810644947687134,standard,mcc,1,1024
2,0.057283407731613493,standard,mcc,2,1024
3,-0.00959697743447548,standard,mcc,3,1024
0,0.21428571428571427,majority,accuracy,0,1024
1,0.0,majority,accuracy,1,1024
