,cv_score,sample_type,score,fold
0,0.1987179487179487,standard,accuracy,0
1,0.1495124593716143,standard,accuracy,1
2,0.2011173184357542,standard,accuracy,2
3,0.16852791878172588,standard,accuracy,3
0,0.1763515144450521,standard,f1,0
1,0.12587570378889093,standard,f1,1
2,0.1624612600691133,standard,f1,2
3,0.13960921239143093,standard,f1,3
0,0.6552202055656959,standard,roc_auc,0
1,0.5796332920393169,standard,roc_auc,1
2,0.664892939998935,standard,roc_auc,2
3,0.5798945737669666,standard,roc_auc,3
0,0.10279653356416851,standard,mcc,0
1,0.03991141208259291,standard,mcc,1
2,0.09757014532772008,standard,mcc,2
3,0.07074225015495987,standard,mcc,3
0,0.2857142857142857,majority,accuracy,0
1,0.14285714285714285,majority,accuracy,1
2,0.35714285714285715,majority,accuracy,2
3,0.16666666666666666,majority,accuracy,3
0,0.2019047619047619,majority,f1,0
1,0.07333333333333333,majority,f1,1
2,0.31666666666666665,majority,f1,2
3,0.11333333333333333,majority,f1,3
0,0.7277777777777777,majority,roc_auc,0
1,0.6472222222222223,majority,roc_auc,1
2,0.7805555555555556,majority,roc_auc,2
3,0.6944444444444444,majority,roc_auc,3
0,0.1967675871773127,majority,mcc,0
1,0.023973165074269207,majority,mcc,1
2,0.29071732876935347,majority,mcc,2
3,0.07644910495784081,majority,mcc,3
