,drug_type,y,prediction
CSAA000937,CSAA000937,3,3
CSAA005330,CSAA005330,3,3
CSAA008422,CSAA008422,3,3
CSAA011647,CSAA011647,15,10
CSAA011840,CSAA011840,3,3
CSAA012029,CSAA012029,3,3
CSAA020364,CSAA020364,11,17
CSAA020833,CSAA020833,3,3
CSAA021296,CSAA021296,3,15
CSAA026102,CSAA026102,2,3
CSAA026200,CSAA026200,13,13
CSAA035078,CSAA035078,3,3
CSAA044014,CSAA044014,3,6
CSAA045292,CSAA045292,11,15
CSAA055679,CSAA055679,10,10
CSAA062324,CSAA062324,9,9
CSAA118599,CSAA118599,9,9
CSAA149470,CSAA149470,2,6
CSAA189597,CSAA189597,2,2
CSAA241833,CSAA241833,11,11
CSAA375588,CSAA375588,11,15
CSAA398011,CSAA398011,6,6
CSAA403359,CSAA403359,11,11
CSAA466656,CSAA466656,7,7
CSAA532845,CSAA532845,2,2
CSAA589317,CSAA589317,11,11
CSAA632597,CSAA632597,7,7
CSAA632702,CSAA632702,6,6
CSAA741184,CSAA741184,10,15
CSCA040604,CSCA040604,15,15
CSCA109859,CSCA109859,6,6
CSCA193403,CSCA193403,13,11
CSCA988072,CSCA988072,15,11
CSCC154574,CSCC154574,9,9
CSCC170103,CSCC170103,10,10
CSCC201954,CSCC201954,7,7
CSCC202642,CSCC202642,17,17
CSCC218769,CSCC218769,17,17
CSCC222657,CSCC222657,17,17
CSCC223039,CSCC223039,17,17
CSCC230937,CSCC230937,17,17
CSCC232026,CSCC232026,17,17
CSCC811993,CSCC811993,6,6
CSCC812077,CSCC812077,6,10
CSCC812553,CSCC812553,10,10
CSCC917643,CSCC917643,9,9
CSCC944524,CSCC944524,13,13
CSCD010279,CSCD010279,7,7
CSCD067122,CSCD067122,17,17
CSCD068947,CSCD068947,17,17
CSCD085077,CSCD085077,10,15
CSCD563206,CSCD563206,15,15
CSCD621021,CSCD621021,13,13
CSCD625624,CSCD625624,13,13
CSCD653428,CSCD653428,13,13
CSCD668797,CSCD668797,13,15
CSCD676431,CSCD676431,11,13
CSCD677230,CSCD677230,13,13
CSDH053139,CSDH053139,11,17
M104-5MG,M104-5MG,9,11
