,0
0,angular_velocity_head_tip_abs_50th
1,angular_velocity_head_tip_abs_90th
2,angular_velocity_head_tip_abs_IQR
3,relative_to_body_radial_velocity_head_tip_90th
4,relative_to_head_base_angular_velocity_head_tip_abs_10th
5,relative_to_head_base_angular_velocity_head_tip_abs_50th
6,relative_to_head_base_angular_velocity_head_tip_abs_90th
7,relative_to_head_base_angular_velocity_head_tip_abs_IQR
8,relative_to_head_base_radial_velocity_head_tip_10th
9,relative_to_head_base_radial_velocity_head_tip_90th
10,relative_to_head_base_radial_velocity_head_tip_IQR
11,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_10th
12,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_50th
13,relative_to_neck_radial_velocity_head_tip_10th
14,relative_to_neck_radial_velocity_head_tip_90th
15,relative_to_neck_radial_velocity_head_tip_norm_10th
16,relative_to_neck_radial_velocity_head_tip_norm_90th
17,relative_to_neck_radial_velocity_head_tip_w_forward_10th
18,relative_to_neck_radial_velocity_head_tip_w_forward_90th
19,relative_to_neck_radial_velocity_head_tip_w_forward_IQR
