,novelty_score
CSAA050216,0.8868675827607745
CSAA058638,0.9376951905059339
CSAA086501,0.1576748906933167
CSAA145723,0.8876873828856964
CSAA173130,0.9376951905059339
CSAA202913,0.8868675827607745
CSAA465503,0.9180199875078078
CSCA091357,0.9180199875078078
CSCC151725,0.8868675827607745
CSCC232759,0.8868675827607745
CSCC819117,0.913101186758276
CSCC910944,0.889873516552155
CSCD059752,0.9046299188007495
CSCD060855,0.9046299188007495
CSCD625957,0.8868675827607745
CSCD702471,0.8868675827607745
CSAA172687,0.8924890693316677
